D222	1
O260B	1
T81	1
A211	1
T9C	1
A32B	1
W25A	1
E145B	1
H16	1
R36	1
P106	1
G63	1
NU6	1
G197	1
O129	1
O162	1
R3B	1
E174	1
R37	1
F141	1
X6B	1
U58	1
M38B	1
A69	1
E8B	1
P7B	1
M14A	1
A50D	1
A151	1
A366	1
G25A	1
A53A	1
A165	1
O62	1
S193	1
U29A	1
P5A	1
E25	1
T36	1
O337	1
A48B	1
P36B	1
G127	1
O16B	1
S36A	1
E14A	1
P99	1
Y15	1
A90	1
G7D	1
E198	1
T72	1
V13A	1
G16B	1
A441	1
R3A	1
M17A	1
E101	1
E26	1
N111	1
O349	1
O123	1
C11B	1
W2B	1
D198	1
T25C	1
I31B	1
NU4	1
D410	1
D46D	1
R15B	1
B3A	1
S36C	1
O329B	1
F107	1
G28A	1
Q14	1
U24D	1
O21B	1
S1A	1
P9	1
C1D	1
M217	1
G23A	1
M36B	1
A212A	1
O22B	1
G167	1
D234	1
P47A	1
T24A	1
A143	1
A97	1
U92	1
U25A	1
U18	1
N31F	1
O106B	1
D23	1
D292	1
V110	1
E258	1
F172	1
P5N	1
A78	1
AA1	1
G57	1
D9A	1
S31	1
A242	1
D151	1
G165	1
X11	1
A81A	1
A410	1
A135C	1
G216A	1
S14C	1
O4A	1
R7G	1
N16A	1
O3A	1
M148	1
W11A	1
H20	1
U47	1
A52G	1
B24	1
